City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,roosevelt,33.9668,-103.4505,21.93,63,70,4.41,US,1696218876
84,kiffa,16.6166,-11.4045,31.61,16,100,2.22,MR,1696218876
85,pangoa,-12.1167,-73.0,20.89,95,100,1.07,PE,1696218876
86,hawaiian paradise park,19.5933,-154.9731,26.73,81,100,3.09,US,1696218705
87,tamanrasset,22.785,5.5228,20.95,28,0,2.06,DZ,1696218783
88,ushuaia,-54.8,-68.3,0.81,80,0,8.23,AR,1696218423
89,bethel,41.3712,-73.414,18.68,86,0,2.06,US,1696218704
90,tumut,-35.3,148.2167,28.63,29,66,2.26,AU,1696218876
91,diego de almagro,-26.3667,-70.05,14.75,51,28,0.35,CL,1696218877
92,yermakovskoye,53.2831,92.4003,7.19,84,91,0.45,RU,1696218877
93,archangelos,36.2149,28.1149,22.39,63,0,5.75,GR,1696218877
94,qaqortoq,60.7167,-46.0333,1.93,77,100,1.43,GL,1696218740
95,arica,-18.475,-70.3042,19.13,77,100,3.09,CL,1696218877
96,iskateley,67.6803,53.1512,10.57,96,89,3.58,RU,1696218716
97,yafran,32.0633,12.5286,16.78,79,0,1.99,LY,1696218877
98,tralee,52.2704,-9.7026,10.66,96,100,2.3,IE,1696218638
99,bengkulu,-3.8004,102.2655,27.88,62,100,4.61,ID,1696218742
100,aroma,15.8167,36.1333,28.58,47,0,3.62,SD,1696218877
101,anadyr,64.75,177.4833,4.28,48,0,4.92,RU,1696218699
102,papatowai,-46.5619,169.4708,5.86,92,100,12.38,NZ,1696218697
103,mil'kovo,55.6078,37.7956,9.08,73,93,2.71,RU,1696218784
104,smolenskaya,44.7887,38.8018,16.46,65,100,0.89,RU,1696218878
105,halden,59.1226,11.3871,14.24,97,100,3.32,NO,1696218878
106,invercargill,-46.4,168.35,6.68,87,100,6.71,NZ,1696218716
107,ilabaya,-17.4208,-70.5133,18.77,46,21,0.17,PE,1696218878
108,queenstown,-31.8976,26.8753,6.47,86,13,0.82,ZA,1696218725
109,fort mcmurray,56.7268,-111.381,8.77,66,20,4.12,CA,1696218878
110,patacamaya,-17.2333,-67.9167,9.31,72,100,3.46,BO,1696218878
111,mount gambier,-37.8333,140.7667,25.76,33,0,5.56,AU,1696218767
112,ust-nera,64.5667,143.2,1.79,56,29,2.68,RU,1696218701
113,naliya,23.2667,68.8333,29.69,41,100,2.58,IN,1696218879
114,san antonio de pale,-1.4014,5.6325,25.08,84,90,4.78,GQ,1696218762
115,isafjordur,66.0755,-23.124,4.84,95,100,11.06,IS,1696218716
116,gurun,5.8172,100.4738,29.9,63,99,1.99,MY,1696218879
117,labytnangi,66.6572,66.4183,7.81,97,100,4.97,RU,1696218725
118,olonkinbyen,70.9221,-8.7187,-0.02,88,100,7.85,SJ,1696218715
119,gebeit,21.0667,36.3167,26.74,47,5,2.09,SD,1696218712
120,badger,64.8,-147.5333,5.76,85,40,2.57,US,1696218710
121,gunnison,38.7,-107.0673,11.47,42,98,1.28,US,1696218879
122,ancud,-41.8697,-73.8203,6.16,90,98,1.37,CL,1696218706
123,sarankhola,22.3082,89.7897,30.11,71,42,2.67,BD,1696218879
124,olyokminsk,60.3736,120.4264,4.99,73,100,5.36,RU,1696218879
125,bay harbor,30.1471,-85.6146,23.04,73,0,2.57,US,1696218880
126,the pas,53.8251,-101.2541,7.01,87,100,2.57,CA,1696218880
127,kavieng,-2.5744,150.7967,28.96,73,72,1.62,PG,1696218880
128,pemba,-12.974,40.5178,23.39,94,20,1.54,MZ,1696218880
129,placer,39.0666,-120.7677,11.91,84,53,0.45,US,1696218880
130,kalemie,-5.9475,29.1947,22.86,75,21,1.83,CD,1696218880
131,chibougamau,49.9168,-74.3659,10.68,69,6,1.86,CA,1696218746
132,aghajari,30.7006,49.8315,22.12,35,0,2.06,IR,1696218880
133,st. john's,47.5649,-52.7093,12.76,90,40,7.72,CA,1696218756
134,margaret river,-33.95,115.0667,13.39,49,89,10.26,AU,1696218712
